"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2024","114.56","114.56","114.56","114.56","","-0.11%"
"04/19/2024","114.69","115.44","115.44","115.44","0.00K","0.44%"
"04/18/2024","114.19","114.81","115.19","114.06","401.75K","-0.60%"
"04/17/2024","114.88","113.84","114.97","113.62","505.31K","0.77%"
"04/16/2024","114.00","114.00","114.00","114.00","0.00K","-0.27%"
"04/15/2024","114.31","115.00","115.00","115.00","0.00K","-1.30%"
"04/13/2024","115.81","115.81","115.81","115.81","","-0.38%"
"04/12/2024","116.25","115.47","116.00","115.47","0.01K","0.84%"
"04/11/2024","115.28","115.59","115.59","115.59","0.00K","-0.27%"
"04/10/2024","115.59","118.00","118.31","115.41","717.70K","-2.04%"
"04/09/2024","118.00","117.12","118.16","117.00","388.35K","0.75%"
"04/08/2024","117.13","117.00","117.00","117.00","0.00K","-0.37%"
"04/05/2024","117.56","118.34","118.47","117.03","509.13K","-0.74%"
"04/04/2024","118.44","117.94","118.53","117.38","475.17K","0.53%"
"04/03/2024","117.81","117.00","117.00","117.00","0.00K","0.05%"
"04/02/2024","117.75","118.72","118.81","117.16","616.98K","-0.69%"
"04/01/2024","118.56","120.00","120.00","119.31","0.01K","-1.58%"
"03/28/2024","120.47","120.31","120.62","119.75","449.27K","0.23%"
"03/27/2024","120.19","119.62","120.38","119.50","335.56K","0.44%"
"03/26/2024","119.66","119.41","119.78","119.06","295.64K","0.24%"
"03/25/2024","119.38","119.97","120.19","119.19","252.14K","-0.39%"
"03/22/2024","119.84","119.09","120.16","119.06","313.02K","0.71%"
"03/21/2024","119.00","118.88","119.62","118.59","365.65K","0.11%"
"03/20/2024","118.88","119.00","119.00","119.00","0.00K","0.13%"
"03/19/2024","118.72","118.44","119.00","118.22","420.80K","0.45%"
"03/18/2024","118.19","118.59","118.88","118.09","301.27K","-0.45%"
"03/15/2024","118.72","118.88","119.22","118.47","351.27K","0.00%"
"03/14/2024","118.72","120.38","120.44","118.69","466.18K","-1.27%"
